 Assay #,Treatment,Tube,Ctmax
1,Microplastics,1,36.1
1,Thermometer,2,
1,Combined,3,36.4
1,Heatwave,4,NA
1,Control,5,36.1
2,Heatwave,1,36.1
2,Combined,2,36.9
2,Control,3,36.2
2,Thermometer,4,
2,Heatwave,5,36.5
2,Microplastics,6,36.4
2,Microplastics,7,36.5
2,Combined,8,36.9
2,Control,9,36.6
3,Combined,1,36.6
3,Control,2,36.9
3,Heatwave,3,36.6
3,Control,4,36.9
3,Heatwave,5,36.4
3,Microplastics,6,36.6
3,Thermometer,7,
3,Microplastics,8,36.4
3,Combined,9,36.5
4,Microplastics,1,36.8
4,Heatwave,2,36.8
4,Heatwave,3,36.7
4,Microplastics,4,36.7
4,Control,5,36.6
4,Control,6,36
4,Combined,7,36.8
4,Thermometer,8,
4,Combined,9,36.9
